theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.7288299269637664,-0.7946649725304837,1.9730259944001325,1.9623939215661312,3.2039602859501994
3.7265552769294197,-0.7955475871728147,1.9729750030390052,1.960839504986332,3.1979710241764683
3.722803317763957,-0.7970025307273532,1.9728908025308034,1.9582779758547297,3.188208282831092
3.717606060197018,-0.7990166461355435,1.9727740352248986,1.954733196581556,3.1748515395956662
3.7109955149582436,-0.8015767763388296,1.9726253434706627,1.950229029577044,3.158080272151791
3.7030036927772727,-0.8046697642786552,1.9724453696174673,1.944789337251426,3.1380739581810624
3.6936626043837455,-0.8082824528964647,1.9722347560146847,1.9384379820149353,3.115012075365079
3.683004260507303,-0.8124016851337019,1.9719941450116867,1.9311988262778044,3.0890741013854384
3.671060671877583,-0.8170143039318107,1.9717241789578448,1.9230957324502655,3.060439513923739
3.657863849224227,-0.8221071522322353,1.9714255002025307,1.914152562942552,3.0292877906615767
3.643445803276874,-0.8276670729764196,1.9710987510951163,1.9043931801648963,2.99579840928055
3.6278385447651647,-0.8336809091058076,1.970744573984974,1.893841446527531,2.9601508474622573
3.6110740844187386,-0.8401355035618434,1.970363611221475,1.882521224440689,2.9225245828882955
3.5931844329672358,-0.8470176992859709,1.9699565051539913,1.8704563763146027,2.8830990932402627
3.574201601140296,-0.8543143392196342,1.9695238981318948,1.8576707645595052,2.8420538561997564
3.5541575996675587,-0.8620122663042772,1.9690664325045575,1.8441882515856287,2.7995683494483745
3.5330844392786647,-0.870098323481344,1.9685847506213507,1.8300326998032062,2.7558220506677142
3.511014130703253,-0.8785593536922783,1.9680794948316467,1.8152279716224706,2.710994437539374
3.4879786846709644,-0.8873821998785246,1.967551307484817,1.7997979294536541,2.6652649877449512
3.4640101119114384,-0.8965537049815264,1.9670008309302336,1.7837664357069898,2.618813178966043
3.4391404231543143,-0.9060607119427283,1.9664287075172684,1.76715735279271,2.5718184888842477
3.413401629129233,-0.9158900637035736,1.9658355795952933,1.7499945431210477,2.524460395181163
3.3868257405658344,-0.926028603205507,1.9652220895136798,1.7323018691022356,2.4769183755383866
3.3594447681937574,-0.9364631733899719,1.9645888796217996,1.7141031931465063,2.429371907637516
3.3312907227426423,-0.9471806171984125,1.9639365922690253,1.6954223776640924,2.382000469160149
3.302395614942129,-0.958167777572273,1.9632658698047278,1.6762832850652267,2.3349835377878834
3.2727914555218582,-0.9694114974529972,1.9625773545782796,1.656709777760142,2.2885005912023164
3.242510255211469,-0.9808986197820292,1.9618716889390522,1.636725718159071,2.242731107085046
3.2115840247406013,-0.9926159875008131,1.9611495152364176,1.616354968672246,2.1978545631176702
3.180044774838895,-1.0045504435507926,1.9604114758197475,1.5956213917099002,2.1540504369817866
3.147924516235991,-1.0166888308734117,1.9596582130384135,1.574548849682266,2.111498206358992
3.1152552596615277,-1.0290179924101148,1.958890369241788,1.5531612049995762,2.0703773489308857
3.082069015845146,-1.0415247711023459,1.9581085867792423,1.5314823200720633,2.0308673423790644
3.048397795516485,-1.0541960098915484,1.9573135080001485,1.50953605730996,1.9931476643851258
3.014273609405185,-1.0670185517191668,1.9565057752538786,1.4873462791234995,1.9573977926306678
2.9797284682408867,-1.079979239526645,1.9556860308898039,1.464936847922914,1.923797204797288
2.9447943827532295,-1.0930649162554271,1.9548549172572964,1.4423316261184362,1.8925253785665845
2.909503363671853,-1.1062624248469568,1.9540130767057284,1.419554476120299,1.863761791620154
2.8738874217263963,-1.1195586082426783,1.9531611515844711,1.3966292603387351,1.8376859216395953
2.8379785676465015,-1.1329403093840358,1.9522997842428966,1.373579841183977,1.8144772463065055
