x,y,z
-15.999999999999977,1.4366908882000289e-09,5.000000000000005
-16.04752554623089,0.0037543452297313287,4.843995863853692
-16.170358794477817,0.015022666347579561,4.412372710469398
-16.332775183957956,0.03389131748695664,3.758556589429751
-16.497596729369466,0.060411908858838216,2.9370689422512957
-16.633059299723122,0.09446426547691193,2.005566937492277
-16.71782875458427,0.1357029370613852,1.0251745123712386
-16.743944467173705,0.18360759407484767,0.059367423473848824
-16.71745646369354,0.23762707022574556,-0.8279231189831773
-16.656655177281596,0.2973769098762894,-1.574139661258008
-16.587969485468864,0.3628247169378217,-2.119072487523475
-16.53971580816438,0.43437780145384575,-2.404494786106568
-16.51059547790797,0.5120499004927268,-2.52936058049026
-16.47957698397135,0.5951629729078178,-2.6521304239566605
-16.446626060987153,0.6834965851717771,-2.7728217764566665
-16.411705427971874,0.776828725162458,-2.8914539955913074
-16.37477545393885,0.8749359577271072,-3.008048241175355
-16.335794805081058,0.9775935756441988,-3.1226273837456517
-16.2947210725481,1.084575748070811,-3.2352159169074772
-16.251511379914454,1.1956556683728097,-3.3458398733997896
-16.206122969499837,1.3106057030423328,-3.4545267447494723
-16.15851376675772,1.4291975432163697,-3.5613054043755845
-16.10864292199769,1.5512023601202394,-3.66620603399702
-16.056471328751492,1.6763909655718998,-3.769260053190804
-16.00196211813333,1.804533978498784,-3.870500051943404
-15.945081128583343,1.9354019982370942,-3.9699597260337107
-15.88579735042018,2.0687657852069035,-4.06767381508401
-15.824083344665425,2.204396449383779,-4.163678043113535
-15.759915635639812,2.34206564682053,-4.258009061428924
-15.693275076870247,2.481545784311405,-4.350704393686183
-15.624147189887182,2.62261023213549,-4.441802382959923
-15.552522475535891,2.765033544667916,-4.5313421406577366
-15.478396697471585,2.90859168850555,-4.619363497120102
-15.401771137558754,3.0530622776203153,-4.705906953749602
-15.322652822949236,3.1982248149269004,-4.791013636517037
-15.24105472467128,3.3438609395341516,-4.874725250696482
-15.156995927624159,3.48975467884038,-4.95708403668618
-15.070501771938641,3.635692704532805,-5.038132726777488
-14.981603965733598,3.7814645914608276,-5.1179145027398265
-14.890340669372415,3.926863078271767,-5.196472954095617
-14.796756551399778,4.071684328626662,-5.273852036965572
-14.700902816418996,4.215728191752862,-5.350096033371399
-14.60283720525255,4.358798461039303,-5.425249510889769
-14.502623967812806,4.500703129340176,-5.499357282558654
-14.400333809195615,4.641254639623069,-5.572464366944256
-14.296043809596293,4.780270129578055,-5.644615948284308
-14.189837318734273,4.9175716687958655,-5.71585733663103
-14.081803825559316,5.052986487124647,-5.786233927924628
-13.9720388040971,5.186347192826739,-5.855791163935981
-13.860643536375742,5.317491979179016,-5.924574492024902
-13.747724913455112,5.446264818191837,-5.992629324668071
-13.633395215658247,5.572515640162978,-6.060000998718532
-13.51777187317736,5.696100497833102,-6.126734734366363
-13.400977208295059,5.816881713968069,-6.192875593777719
-13.28313816052434,5.934728011260392,-6.258468439397137
-13.164385996027228,6.049514623516464,-6.323557891905375
-13.044856002721717,6.161123387177547,-6.388188287832419
-12.924687172528895,6.269442812310013,-6.452403636832624
-12.804021872246247,6.3743681322934105,-6.516247578635773
-12.68300550455902,6.47580133153282,-6.579763339694999
-12.561786160718254,6.573651150623542,-6.6429936895588355
-12.440514266421843,6.667833068501698,-6.705980897001488
-12.319342222432896,6.758269261221153,-6.768766685951215
-12.198424041458006,6.8448885371066766,-6.831392191263003
-12.077914982786371,6.927626248142746,-6.893897914387144
-11.957971186159062,7.006424177567102,-6.956323678990811
-11.838749306296066,7.081230403746993,-7.01870858659482
-11.720406149457055,7.15199914052345,-7.081090972292377
-11.603098313350591,7.218690554313202,-7.143508360621219
-11.486981831635191,7.281270558360319,-7.20599742166447
-11.372211824175757,7.339710584626895,-7.268593927459275
-11.258942154129144,7.393987333906551,-7.331332708795626
-11.147325092835057,7.444082504832805,-7.39424761249082
-11.037510993382462,7.489982502538307,-7.457371459227287
-10.929647973607896,7.531678127798806,-7.520736002044065
-10.823881609161415,7.569164247567576,-7.584371885573625
-10.720354637148914,7.602439447872074,-7.648308606117268
-10.619206670726118,7.63150567010398,-7.712574472653181
-10.520573924881523,7.656367831787367,-7.7771965688718065
-10.4245889535025,7.677033432956599,-7.842200716333194
-10.331380397672016,7.693512149317021,-7.907611438840747
-10.241072744993447,7.705815413396995,-7.973451928125
-10.153786099588464,7.713955984929999,-8.039744010929901
-10.069635962258559,7.717947511731329,-8.106508117592533
-9.988733020145453,7.717804082355123,-8.173763252205209
-9.911182945069767,7.713539771835878,-8.241526964446539
-9.83708619957162,7.705168181833873,-8.309815323165253
-9.766537849522512,7.69270197651825,-8.378642891797533
-9.699627382024387,7.676152415534579,-8.448022705694992
-9.636438527161655,7.655528885418164,-8.517966251436691
-9.577049082023972,7.6308384308298,-8.58848344819431
-9.521530735273565,7.602085287009942,-8.659582631215168
-9.469948890391665,7.569270414870452,-8.7312705374829
-9.42236248560389,7.532391040172727,-8.803552293610537
-9.378823808355927,7.491440198277627,-8.876431406015362
-9.339378302089246,7.446406285998917,-8.949909753419321
-9.304064362952005,7.397272622148168,-9.023987581712843
-9.272913123974664,7.344017018428659,-9.09866350121409
-9.245948224143632,7.286611362418213,-9.173934486349175
-9.223185559720452,7.225021214480415,-9.249795877772726
-9.204633015080518,7.159205420559589,-9.326241386941591
-9.190290170284733,7.089115742950506,-9.403263103147887
-9.180147982552235,7.0146965112902455,-9.480851503010905
-9.170238375263907,6.941106008498044,-9.558995462420688
-9.157336144655384,6.872703779539733,-9.637682270919303
-9.14160501860109,6.809440535638301,-9.716897648499106
-9.123198770186079,6.751262998529787,-9.796625764790523
-9.102261401057984,6.698114368858996,-9.876849260605296
-9.078927332856853,6.649934759058754,-9.957549271794402
-9.053321605180884,6.6066615917078835,-10.038705455373528
-9.025560078716937,6.568229964387037,-10.120296017862486
-8.995749642329464,6.534572982067687,-10.202297745778889
-8.963988423057131,6.5056220580822615,-10.284686038220261
-8.930365998113984,6.481307184732976,-10.367434941463067
-8.894963608132054,6.461557174602264,-10.450517185501436
-8.857854371013616,6.446299873631951,-10.533904222443157
-8.81910349588494,6.435462347040781,-10.617566266675327
-8.778768496758651,6.42897103915077,-10.701472336707317
-8.736899405620026,6.4267519081935784,-10.785590298594286
-8.69353898475105,6.428730537168953,-10.869886910840227
-8.648722938198905,6.434832221827298,-10.954327870675828
-8.60248012237859,6.444982036850115,-11.038877861602899
-8.554832755875758,6.459104881303676,-11.123500602094058
-8.505796628584527,6.477125504443514,-11.20815889533376
-8.455381310375099,6.498968512951703,-11.292814679884177
-8.403590359539766,6.524558360692856,-11.377429081157844
-8.350421531311191,6.553819322080688,-11.461962463577272
-8.295866986785096,6.586675450153759,-11.546374483300635
-8.239913502610278,6.6230505204666255,-11.630624141392047
-8.182542681832812,6.662867961910768,-11.714669837314533
-8.12373116629718,6.7060507755893415,-11.798469422624127
-8.06345085101734,6.752521442878543,-11.881980254743915
-8.001669100932396,6.80220182381946,-11.96515925069793
-7.93834897045855,6.855013046992585,-12.047962940686123
-7.873449426237207,6.910875392038337,-12.130347521383568
-7.806925573463259,6.969708165994703,-12.21226890884905
-7.738728886153533,7.031429574632231,-12.29368279093093
-7.668807441687107,7.095956589972891,-12.374544679061213
-7.597106159914114,7.163204815185495,-12.454809959331852
-7.52356704708981,7.233088348053556,-12.534433942751356
-7.448129444846181,7.305519644212674,-12.61337191458359
-7.370730284362407,7.380409381354659,-12.69157918267526
-7.2913043458430185,7.457666325589887,-12.769011124683193
-7.209784523353348,7.5371972011537265,-12.845623234117639
-7.126102095000769,7.618906564631424,-12.921371165123292
-7.04018699838541,7.702696684861896,-12.996210775925102
-6.951968111176582,7.788467429661753,-13.070098170872278
-6.86137353660165,7.876116160488499,-13.142989741019646
-6.768330893562396,7.965537636134564,-13.214842203192259
-6.672767611021726,8.05662392651102,-13.285612637485716
-6.574611226230039,8.149264337543446,-13.35525852316139
-6.473789686287201,8.243345348159968,-13.423737772903038
-6.370231652462931,8.338750560304359,-13.491008765408267
-6.263866806626644,8.43536066285441,-13.55703037629596
-6.154626159066705,8.533053410268476,-13.621762007318097
-6.042442356910658,8.631703616720113,-13.68516361387222
-5.927249992292461,8.731183166412622,-13.747195730818627
-5.808985909349029,8.831361040692805,-13.807819496614071
-5.687589509070403,8.932103362505035,-13.86699667578207
-5.563003050972204,9.033273458644736,-13.92468967974771
-5.435171950509248,9.134731940183336,-13.980861586073155
-5.30404507110431,9.236336801346205,-14.03547615613827
-5.1695750096267155,9.337943537030347,-14.088497851318984
-5.031718374122641,9.439405279050469,-14.139891847724295
-4.890436052572167,9.540572951101758,-14.18962404956128
-4.745693471428934,9.641295442323472,-14.237661101205653
-4.5974608426858445,9.741419799242543,-14.283970398063875
-4.44571339820544,9.840791435769361,-14.328520096321217
-4.290431610056531,9.939254360809855,-14.371279121678416
-4.131601395610602,10.036651422949479,-14.412217177188076
-3.96921430616948,10.132824571557387,-14.451304750310172
-3.80326769792519,10.227615133550476,-14.488513119314483
-3.633764884087165,10.320864104952634,-14.523814359165886
-3.46071526705758,10.412412456279371,-14.557181347036916
-3.284134449588665,10.502101450677792,-14.58858776760011
-3.1040443239155344,10.589772973653846,-14.618008118260772
-2.9204731379287114,10.67526987312518,-14.645417714499203
-2.7334555375276506,10.758436308448456,-14.670792695499077
-2.5430325843799837,10.839118106986941,-14.69411003024716
-2.349251748405727,10.917163126705447,-14.715347524297096
-2.152166874403398,10.99242162320856,-14.734483827397984
-1.9518381223412569,11.064746619573823,-14.751498442196405
-1.7483318809502306,11.133994277274205,-14.766371734227771
-1.54172065437195,11.200024266435733,-14.779084943420816
-1.3320829217386077,11.262700133635743,-14.789620197346242
-1.1195029696905965,11.321889665416027,-14.797960526447518
-0.9040706979678179,11.37746524566322,-14.804089881499344
-0.6858813983479856,11.429304204996637,-14.807993153545436
-0.46503550734173227,11.477289160301787,-14.809656196574409
-0.24163833319678932,11.521308342555818,-14.809065853198412
