theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.729559832416605,-0.7943730093092398,1.9730358656100895,1.9629297973000617,3.205986365603162
3.729453747818071,-0.7943884780190037,1.9730140985417304,1.9629670331114895,3.205955745715598
3.7292772876873395,-0.7944142085263998,1.9729778914034524,1.9630289708125621,3.2059048128805094
3.729030736369996,-0.7944501593696193,1.9729273025389724,1.963115510597665,3.2058336491704122
3.7287143782116248,-0.7944962890868535,1.9728623902920075,1.9632265526611836,3.2057423366578215
3.7283284975578104,-0.7945525562162942,1.9727832130062741,1.9633619971975027,3.205630957415252
3.7278733787541376,-0.7946189192961324,1.9726898290254893,1.963521744401008,3.2054995935152193
3.7273493061461904,-0.7946953368645597,1.97258229669337,1.9637056944660847,3.2053483270302388
3.726756564079554,-0.7947817674597673,1.9724606743536328,1.9639137475871178,3.205177240032825
3.7260954368998136,-0.7948781696199467,1.9723250203499945,1.9641458039584927,3.2049864145954943
3.7253662089525528,-0.7949845018832893,1.9721753930261725,1.9644017637745947,3.2047759327907617
3.724569164583357,-0.7951007227879865,1.9720118507258833,1.9646815272298093,3.2045458766911423
3.72370458813781,-0.7952267908722296,1.9718344517928432,1.9649849945185216,3.2042963283691503
3.722772763961497,-0.79536266467421,1.97164325457077,1.9653120658351166,3.2040273698973025
3.721773976400003,-0.7955083027321191,1.97143831740338,1.9656626413739802,3.2037390833481134
3.7207085097989117,-0.7956636635841484,1.9712196986343902,1.9660366213294969,3.203431550794098
3.719576648503808,-0.7958287057684891,1.9709874566075174,1.9664339058960525,3.203104854307772
3.718378676860277,-0.7960033878233328,1.9707416496664782,1.9668543952680324,3.202759075961651
3.7171148792139035,-0.7961876682868706,1.97048233615499,1.9672979896398213,3.2023942978282496
3.715785539910272,-0.7963815056972942,1.970209574416769,1.9677645892058049,3.202010601980083
3.714390943294966,-0.7965848585927947,1.9699234227955325,1.9682540941603683,3.201608070489667
3.712931373713572,-0.7967976855115636,1.9696239396349973,1.968766404697897,3.2011867854295164
