x,y,z
-15.000000000000018,-9.999999999999938,3.999999999999991
-15.001508719177616,-10.00050829838765,4.001512205537837
-15.005990102191785,-10.002011567464633,4.006013501156906
-15.013375327825772,-10.004475545724034,4.013454081229205
-15.023593479502306,-10.007863671565627,4.023788118127211
-15.036571682924441,-10.012137240455077,4.036973442957481
-15.052235234110693,-10.017255556525129,4.0529712286139485
-15.070507719004626,-10.023176079141841,4.071745675925863
-15.091311125772036,-10.029854564933833,4.0932637036166515
-15.11456595083078,-10.037245205754608,4.11749464273719
-15.140191299591631,-10.04530076301766,4.144409936189064
-15.168104982821397,-10.053972698812332,4.173982843910447
-15.19822360947371,-10.063211304174738,4.206188154258199
-15.23046267676702,-10.07296582485404,4.241001902084048
-15.26473665822525,-10.083184584878449,4.278401093970374
-15.300959090332627,-10.09381510819023,4.318363441061072
-15.339042658391842,-10.1048042385825,4.36086709989494
-15.378899282113313,-10.116098258135022,4.4058904216230905
-15.420440201403249,-10.127643004310407,4.45341170996678
-15.46357606275925,-10.139383985836943,4.503408988248296
-15.508217006625111,-10.151266497470077,4.555859775804289
-15.554272756000222,-10.16323573369076,4.610740874068121
-15.601652706544623,-10.175236901366787,4.668028162585121
-15.650266018368237,-10.1872153313718,4.727696405201959
-15.70002170964128,-10.199116589127076,4.789719066648384
-15.750828752113717,-10.210886584002948,4.854068139706142
-15.802596168583946,-10.222471677490281,4.920713983136073
-15.855233132311286,-10.233818790027433,4.989625170510001
-15.908649068322967,-10.244875506345798,5.06076835006855
-15.96275375652466,-10.255590179175673,5.134108115700531
-16.01745743648401,-10.2659120311357,5.209606889112548
-16.07267091371903,-10.275791254612386,5.2872248132303445
-16.128305667288064,-10.285179109421748,5.366919656845275
-16.18427395844485,-10.29402801803275,5.448646730490411
-16.240488940091918,-10.30229165812222,5.532358813501829
-16.296864766736817,-10.309925052223086,5.618006092190406
-16.353316704630316,-10.316884654221987,5.705536109019595
-16.40976124174194,-10.323128432459326,5.794893722654016
-16.46611619720765,-10.32861594918312,5.886021078713155
-16.522300829865994,-10.333308436109268,5.978857591033796
