distance,average,std
,202.05603953296364,804.1588298063341
,89.64746719230658,1969.772164662541
,74.77100825242243,6991.206855758846
,70.66955495106288,31364.60655877825
,69.59548786051099,4481.706042752691
,64.2672838008793,2.8823037615171174e+17
,64.10412289730209,6633.195868719851
,61.121000150838604,1.4411518807585587e+17
,61.08468604984309,19091.871484068422
,60.050029836051074,2.8823037615171174e+17
,59.960444755893754,10497.244818545449
,58.46492623645429,1.4411518807585587e+17
,58.46492623645429,1.4411518807585587e+17
,58.46492623645429,1.4411518807585587e+17
,58.46492623645429,1.4411518807585587e+17
,58.45208140419313,49404.66403584682
,58.05620357920497,24253.830998947542
,57.299488870517585,34129.12139738577
,56.74609348465169,14965.991447901142
,55.61059382588575,2.8823037615171174e+17
,55.61059382588575,2.8823037615171174e+17
,55.58714893459501,24484.13187312869
,54.915742424454805,inf
,54.915742424454805,inf
,54.91488426386428,652558.3731220778
,54.912309943009404,344589.22702395084
,54.912309943009404,344589.22702395084
,54.912309943009404,344589.22702395084
,54.912309943009404,344589.22702395084
,54.912309943009404,344589.22702395084
