theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.729572296892299,-0.7943945779497745,1.9720928688858967,1.9628947393086684,3.2053230692517074
3.729503818815365,-0.7944744670844434,1.9699152009182415,1.9628271161104163,3.2033232372799265
3.729390426893916,-0.7946070415560664,1.9675198226154864,1.9627148662302734,3.2000281920830833
3.7292327251153146,-0.7947918316577867,1.965916426231272,1.9625583623093747,3.1954690311889173
3.7290313174669216,-0.7950283676827472,1.9661147040192382,1.9623579769888566,3.189676852125168
3.7287868079360975,-0.7953161799240906,1.969124348233024,1.9621140829098542,3.182682752419574
3.728499800510205,-0.7956547986749606,1.9736187932530656,1.9618270527135035,3.1745178295998744
3.7281708991766047,-0.7960437542284995,1.9780619187289203,1.96149725904094,3.165213181193808
3.727800707922658,-0.7964825768778507,1.9824538963545142,1.9611250745332993,3.1547999047291144
3.727389830735726,-0.7969707969161574,1.9867948978237717,1.9607108718317174,3.143309097733532
3.7269388716031715,-0.7975079446365622,1.9910850948306178,1.9602550235773297,3.1307718577348007
3.726448434512354,-0.7980935503322082,1.9953246590689775,1.959757902411272,3.117219282260659
3.725919123450636,-0.7987271442962387,1.999513762232775,1.9592198809746797,3.1026824688388457
3.7253515424053787,-0.7994082568217965,2.0036525760159356,1.9586413319086886,3.0871925149971005
3.724746295363943,-0.8001364182020247,2.0077412721123835,1.9580226278544344,3.0707805182631622
3.724103986313691,-0.8009111587300662,2.0117800222160445,1.957364141453053,3.05347757616477
3.7234252192419834,-0.8017320086990642,2.0157689980208424,1.9566662453456796,3.0353147862296623
3.7227105981361817,-0.8025984984021617,2.0197083712207027,1.95592931217345,3.0163232459855784
3.721960726983647,-0.8035101581325015,2.0235983135095497,1.9551537145775002,2.996534052960258
3.721176209771742,-0.8044665181832269,2.0274389965813087,1.9543398251989657,2.97597830468144
3.7203576504878266,-0.8054671088474809,2.031230592129905,1.9534880166789819,2.9546870986768634
3.7195056531192625,-0.8065114604184062,2.0349732718492617,1.9525986616586846,2.932691532474266
3.7186208216534116,-0.8075991031891462,2.038667207433305,1.9516721327792097,2.910022703601389
3.717703760077635,-0.8087295674528436,2.042312570575959,1.9507088026816926,2.88671170958597
3.716755072379293,-0.8099023835026419,2.045909532971149,1.949709044007269,2.8627896479557484
