distance,average,std
,201.2413587832702,1206.9439337751655
,98.3459163867779,2485.201799742579
,72.1639766927847,55692.1485157542
,71.00325268160447,2824.279147223236
,64.88707163323868,2.8823037615171174e+17
,62.8947861873481,1891.538276808897
,52.6210714841947,2.8823037615171174e+17
,52.344183394146704,4103.542713513367
,49.95860202309946,1.4411518807585587e+17
,49.87115661454344,6518.344124883969
,47.96117699809731,2.8823037615171174e+17
,47.95749426148408,115978.27832659398
,47.83729254890999,31145.452525421642
,47.41468665570883,13842.558443328278
,46.55592920690208,1.4411518807585587e+17
,46.55592920690208,1.4411518807585587e+17
,46.55592920690208,1.4411518807585587e+17
,46.55592920690208,1.4411518807585587e+17
,46.55592920690208,1.4411518807585587e+17
,46.55592920690208,1.4411518807585587e+17
,46.55425144306974,239885.7885702649
,46.50564883945746,1.4411518807585587e+17
,46.44660425413524,6793.296967035027
,44.79721418988008,1.4411518807585587e+17
,44.79721418988008,1.4411518807585587e+17
,44.79721418988008,1.4411518807585587e+17
,44.792035727801135,71953.5140770845
,44.64237938609729,2.8823037615171174e+17
,44.596869917323104,8123.645197777205
,43.28917208055186,12836.229991303391
