theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.729581239043204,-0.7944041990979456,1.9730377164852093,1.9628760781351298,3.205894424900284
3.7295393951714315,-0.794512978500371,1.9730215048242814,1.9627525748091905,3.205588894172254
3.7294700411380695,-0.7946937525942006,1.9729945617988536,1.9625473809366039,3.205081447261369
3.729373492559148,-0.7949460919074425,1.9729569499257502,1.9622610242478986,3.2043735331424
3.729250065050698,-0.7952695669681045,1.9729087317217955,1.9618940324736027,3.2034666007901182
3.7291000742287497,-0.7956637483041941,1.9728499697038142,1.9614469333442446,3.2023620991792945
3.7289238357093333,-0.7961282064437196,1.97278072638863,1.9609202545903526,3.2010614772847004
3.7287216651084782,-0.7966625119146886,1.9727010642930676,1.9603145239424549,3.199566184081106
3.728493878042216,-0.7972662352451091,1.9726110459339516,1.95963026913108,3.1978776685432835
3.7282407901265766,-0.7979389469629888,1.9725107338281063,1.9588680178867561,3.1959973796460033
3.7279627169775895,-0.7986802175963357,1.9724001904923554,1.9580282979400114,3.1939267663640365
3.7276599742112855,-0.7994896176731575,1.972279478443524,1.9571116370213748,3.191667277672155
3.727332877443695,-0.8003667177214622,1.9721486601984362,1.956118562861374,3.189220362545129
3.7269817422908487,-0.8013110882692576,1.9720077982739161,1.9550496031905373,3.18658746995773
3.726606884368776,-0.8023222998445515,1.9718569551867886,1.9539052857393933,3.183770048884729
3.7262086192935073,-0.8033999229753518,1.9716961934538775,1.9526861382384704,3.1807695483008978
3.7257872626810733,-0.8045435281896662,1.9715255755920076,1.9513926884182964,3.1775874171810057
3.7253431301475044,-0.8057526860155029,1.9713451641180029,1.9500254640094001,3.1742251044998255
3.72487653730883,-0.8070269669808694,1.9711550215486877,1.9485849927423098,3.170684059232128
3.724387799781081,-0.8083659416137738,1.9709552104008867,1.9470718023475537,3.166965730352684
3.723877233180288,-0.8097691804422238,1.970745793191424,1.9454864205556601,3.1630715668362646
3.7233451531224806,-0.8112362539942274,1.9705268324371241,1.9438293750971571,3.159003017657641
3.722791875223689,-0.8127667327977922,1.9702983906548113,1.9421011937025732,3.154761531791584
3.7222177150999443,-0.8143601873809263,1.97006053036131,1.940302404102437,3.150348558212865
3.7216229883672765,-0.8160161882716374,1.9698133140734446,1.9384335340272765,3.145765545896255
3.721008010641715,-0.8177343059979334,1.9695568043080391,1.9364951112076199,3.141013943816525
3.720373097539291,-0.8195141110878222,1.9692910635819183,1.9344876633739958,3.1360952009484464
3.7197185646760347,-0.8213551740693116,1.9690161544119062,1.9324117182569325,3.1310107662667903
3.719044727667976,-0.8232570654704094,1.9687321393148274,1.930267803586958,3.1257620887463275
3.718351902131145,-0.8252193558191235,1.968439080807506,1.9280564470946011,3.1203506173618294
3.7176404036815724,-0.827241615643462,1.9681370414067667,1.9257781765103896,3.1147778010880667
3.716910547935289,-0.8293234154714323,1.9678260836294335,1.9234335195648522,3.109045088899811
3.716162650508324,-0.8314643258310426,1.967506269992331,1.9210230039885172,3.1031539297718327
3.715397027016708,-0.8336639172503005,1.9671776630122833,1.9185471575119128,3.097105772678904
3.7146139930764717,-0.8359217602572141,1.9668403252061153,1.9160065078655673,3.090902066595795
3.713813864303645,-0.8382374253797911,1.9664943190906505,1.9134015827800088,3.084544260497277
3.7129969563142584,-0.8406104831460394,1.966139707182714,1.910732909985766,3.0780338033581214
3.7121635847243417,-0.8430405040839668,1.9657765519991295,1.9080010172133672,3.0713721441530994
3.7113140651499257,-0.8455270587215812,1.9654049160567222,1.9052064321933402,3.0645607318569814
3.7104487132070405,-0.8480697175868904,1.9650248618723156,1.902349682656214,3.057601015444539
3.7095678445117164,-0.8506680512079023,1.9646364519627346,1.8994312963325166,3.0504944438905435
3.708671774679983,-0.8533216301126249,1.9642397488448033,1.8964518009527762,3.0432424661697657
3.707760819327872,-0.8560300248290656,1.9638348150353462,1.8934117242475215,3.0358465312569765
3.706835294071413,-0.8587928058852328,1.9634217130511875,1.89031159394728,3.0283080881269475
3.705895514526635,-0.861609543809134,1.9630005054091517,1.8871519377825812,3.0206285857544493
3.7049417963095705,-0.8644798091287771,1.9625712546260627,1.8839332834839524,3.0128094731142534
3.703974455036248,-0.8674031723721701,1.9621340232187456,1.8806561587819224,3.0048521991811303
3.7029938063226986,-0.8703792040673207,1.9616888737040246,1.8773210914070195,2.9967582129298522
3.7020001657849524,-0.8734074747422368,1.9612358685987235,1.8739286090897718,2.9885289633351895
3.7009938490390404,-0.8764875549249264,1.960775070419667,1.8704792395607075,2.980165899371913
3.699975171700991,-0.8796190151433971,1.9603065416836793,1.8669735105503555,2.9716704700147942
3.698944449386836,-0.8828014259256568,1.9598303449075851,1.8634119497892436,2.9630441242386043
3.697901997712606,-0.8860343577997135,1.9593465426082084,1.8597950850079004,2.954288311018114
3.6968481322943303,-0.889317381293575,1.9588551973023738,1.8561234439368544,2.9454044793280945
3.695783168748039,-0.8926500669352491,1.9583563715069054,1.852397554306633,2.9363940781433175
3.6947074226897634,-0.8960319852527437,1.9578501277386278,1.8486179438477655,2.927258556438553
3.6936212097355328,-0.8994627067740665,1.9573365285143653,1.8447851402907798,2.917999363188574
3.692524845501378,-0.9029418020272255,1.9568156363509421,1.8408996713662042,2.9086179473681493
3.691418645603329,-0.9064688415402288,1.9562875137651827,1.836962064804567,2.899115757952051
3.6903029256574165,-0.9100433958410838,1.9557522232739113,1.8329728483363967,2.889494243915051
3.6891780012796707,-0.9136650354577984,1.9552098273939522,1.8289325496922215,2.8797548542319187
3.688044188086121,-0.9173333309183808,1.9546603886421303,1.8248416966025698,2.8698990378774263
3.6869018016927986,-0.9210478527508386,1.954103969535269,1.82070081679797,2.8599282438263454
3.6857511577157336,-0.9248081714831796,1.9535406325901936,1.8165104380089496,2.849843921053446
3.6845925717709562,-0.9286138576434119,1.952970440323728,1.8122710879660382,2.8396475185335
3.6834263594744963,-0.932464481759543,1.9523934552526967,1.8079832943997634,2.8293404852412776
3.682252836442385,-0.936359614359581,1.9518097398939238,1.8036475850406535,2.8189242701515504
3.6810723182906524,-0.9402988259715337,1.951219356764234,1.7992644876192367,2.80840032223909
3.6798851206353276,-0.944281687123409,1.950622368380451,1.794834529866042,2.7977700904786666
3.6786915590924427,-0.9483077683432147,1.9500188372594,1.790358239511597,2.787035023845052
3.6774919492780263,-0.9523766401589587,1.949408825917905,1.7858361442864301,2.776196571313017
3.6762866068081097,-0.9564878730986487,1.9487923968727903,1.7812687719210698,2.7652561818573322
3.675075847298723,-0.9606410376902927,1.94816961264088,1.7766566501460443,2.7542153044527704
3.673859986365896,-0.9648357044618985,1.947540535738999,1.7720003066918824,2.7430753880741006
3.6726393396256594,-0.969071443941474,1.9469052286839712,1.7673002692891118,2.7318378816960953
3.671414222694043,-0.973347826657027,1.946263753992621,1.762557065668261,2.720504234293525
3.6701849511870783,-0.9776644231365654,1.9456161741817728,1.7577712235598584,2.7090758948411606
3.668951840720794,-0.9820208039080971,1.9449625517682514,1.7529432706944323,2.697554312313774
3.6677152069112218,-0.9864165394996298,1.9443029492688806,1.748073734802511,2.6859409356861357
3.666475365374391,-0.9908512004391714,1.943637429200485,1.7431631436146224,2.674237213933017
3.6652326317263317,-0.9953243572547297,1.9429660540798885,1.7382120248612956,2.6624445960291885
3.663987321583075,-0.9998355804743128,1.9422888864239163,1.7332209062730586,2.650564530949422
3.6627397505606507,-1.0043844406259281,1.9416059887493922,1.7281903155804395,2.638598467668488
