theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.729581239043204,-0.7943830566552483,1.9730377164852093,1.9628932993910564,3.205889320922217
3.7295393951714315,-0.7944285829296149,1.9730215048242814,1.9628213024792236,3.205568475964615
3.7294700411380695,-0.7945042545100739,1.9729945617988536,1.9627016641484136,3.2050355011295952
3.729373492559148,-0.7946099032246825,1.9729569499257502,1.962534676098645,3.204291841948873
3.729250065050698,-0.794745360901498,1.9729087317217955,1.9623206300299358,3.203338943954161
3.7291000742287497,-0.7949104593685778,1.9728499697038142,1.962059817642305,3.202178252677174
3.7289238357093333,-0.7951050304539791,1.97278072638863,1.9617525306357704,3.2008112136496263
3.7287216651084782,-0.7953289059857593,1.9727010642930676,1.9613990607103506,3.1992392724032315
3.728493878042216,-0.7955819177919756,1.9726110459339516,1.9609996995660643,3.197463874469704
3.7282407901265766,-0.7958638977006854,1.9725107338281063,1.9605547389029296,3.1954864653807586
3.7279627169775895,-0.7961746775399462,1.9724001904923554,1.960064470420965,3.193308490668108
3.7276599742112855,-0.796514089137815,1.972279478443524,1.9595291858201889,3.1909313958634673
3.727332877443695,-0.7968819643223494,1.9721486601984362,1.9589491768006198,3.1883566264985506
3.7269817422908487,-0.7972781349216064,1.9720077982739161,1.958324735062276,3.1855856281050716
3.726606884368776,-0.7977024327636435,1.9718569551867886,1.9576561523051756,3.182619846214745
3.7262086192935073,-0.798154689676518,1.9716961934538775,1.9569437202293376,3.1794607263592845
3.7257872626810733,-0.7986347374882873,1.9715255755920076,1.95618773053478,3.176109714070404
3.7253431301475044,-0.7991424080270085,1.9713451641180029,1.9553884749215213,3.1725682548798178
3.72487653730883,-0.7996775331207392,1.9711550215486877,1.9545462450895799,3.1688377943192405
3.724387799781081,-0.8002399445975364,1.9709552104008867,1.9536613327389742,3.1649197779203857
3.723877233180288,-0.8008294742854577,1.970745793191424,1.9527340295697226,3.1608156512149677
3.7233451531224806,-0.8014459540125604,1.9705268324371241,1.9517646272818436,3.1565268597347007
3.722791875223689,-0.8020892156069015,1.9702983906548113,1.9507534175753556,3.1520548490112987
3.7222177150999443,-0.8027590908965385,1.97006053036131,1.9497006921502769,3.1474010645764756
3.7216229883672765,-0.8034554117095288,1.9698133140734446,1.9486067427066258,3.1425669519619466
3.721008010641715,-0.8041780098739297,1.9695568043080391,1.9474718609444208,3.1375539566994246
3.720373097539291,-0.8049267172177986,1.9692910635819183,1.9462963385636807,3.1323635243206236
3.7197185646760347,-0.8057013655691926,1.9690161544119062,1.9450804672644235,3.1269971003572588
3.719044727667976,-0.806501786756169,1.9687321393148274,1.9438245387466673,3.121456130341043
3.718351902131145,-0.8073278126067853,1.968439080807506,1.9425288447104312,3.115742059803692
3.7176404036815724,-0.8081792749490987,1.9681370414067667,1.9411936768557332,3.1098563342769183
3.716910547935289,-0.8090560056111666,1.9678260836294335,1.9398193268825916,3.103800399292437
3.716162650508324,-0.8099578364210462,1.967506269992331,1.938406086491025,3.0975757003819617
3.715397027016708,-0.8108845992067951,1.9671776630122833,1.9369542473810522,3.091183683077207
3.7146139930764717,-0.8118361257964702,1.9668403252061153,1.9354641012526907,3.0846257929098866
3.713813864303645,-0.8128122480181291,1.9664943190906505,1.9339359398059595,3.077903475411715
3.7129969563142584,-0.8138127976998291,1.966139707182714,1.9323700547408769,3.071018176114406
3.7121635847243417,-0.8148376066696273,1.9657765519991295,1.9307667377574613,3.0639713405496742
3.7113140651499257,-0.8158865067555813,1.9654049160567222,1.9291262805557312,3.056764414249233
3.7104487132070405,-0.8169593297857483,1.9650248618723156,1.9274489748357049,3.0493988427447967
3.7095678445117164,-0.8180559075881855,1.9646364519627346,1.9257351122974007,3.04187607156808
3.708671774679983,-0.8191760719909502,1.9642397488448033,1.923984984640837,3.0341975462507964
3.707760819327872,-0.8203196548221,1.9638348150353462,1.9221988835660326,3.0263647123246606
3.706835294071413,-0.8214864879096919,1.9634217130511875,1.9203771007730057,3.0183790153213863
3.705895514526635,-0.8226764030817835,1.9630005054091517,1.9185199279617742,3.0102419007726873
3.7049417963095705,-0.823889232166432,1.9625712546260627,1.9166276568323573,3.0019548142102783
3.703974455036248,-0.8251248069916945,1.9621340232187456,1.9147005790847729,2.9935192011658733
3.7029938063226986,-0.8263829593856288,1.9616888737040246,1.9127389864190394,2.984936507171186
3.7020001657849524,-0.8276635211762917,1.9612358685987235,1.9107431705351756,2.9762081777579317
3.7009938490390404,-0.8289663241917409,1.960775070419667,1.9087134231331995,2.967335658457823
3.699975171700991,-0.8302912002600336,1.9603065416836793,1.9066500359131293,2.958320394802575
3.698944449386836,-0.8316379812092268,1.9598303449075851,1.9045533005749842,2.949163832323902
3.697901997712606,-0.8330064988673783,1.9593465426082084,1.9024235088187822,2.939867416553517
3.6968481322943303,-0.8343965850625452,1.9588551973023738,1.9002609523445417,2.930432593023135
3.695783168748039,-0.8358080716227848,1.9583563715069054,1.8980659228522807,2.92086080726447
3.6947074226897634,-0.8372407903761545,1.9578501277386278,1.8958387120420181,2.9111535048092363
3.6936212097355328,-0.8386945731507114,1.9573365285143653,1.8935796116137724,2.901312131189147
3.692524845501378,-0.8401692517745131,1.9568156363509421,1.8912889132675617,2.8913381319359175
3.691418645603329,-0.8416646580756167,1.9562875137651827,1.8889669087034044,2.8812329525812617
3.6903029256574165,-0.8431806238820798,1.9557522232739113,1.8866138896213192,2.8709980386568925
3.6891780012796707,-0.8447169810219594,1.9552098273939522,1.8842301477213241,2.8606348356945253
3.688044188086121,-0.8462735613233129,1.9546603886421303,1.8818159747034375,2.8501447892258747
3.6869018016927986,-0.8478501966141977,1.954103969535269,1.8793716622676784,2.8395293447826533
3.6857511577157336,-0.849446718722671,1.9535406325901936,1.8768975021140646,2.828789947896576
3.6845925717709562,-0.8510629594767902,1.952970440323728,1.8743937859426147,2.817928044099357
3.6834263594744963,-0.8526987507046127,1.9523934552526967,1.8718608054533472,2.8069450789227095
3.682252836442385,-0.8543539242341955,1.9518097398939238,1.8692988523462801,2.795842497898349
3.6810723182906524,-0.8560283118935963,1.951219356764234,1.8667082183214325,2.7846217465579888
3.6798851206353276,-0.8577217455108722,1.950622368380451,1.8640891950788223,2.7732842704333436
3.6786915590924427,-0.8594340569140806,1.9500188372594,1.8614420743184683,2.761831515056127
3.6774919492780263,-0.8611650779312788,1.949408825917905,1.8587671477403884,2.750264925958053
3.6762866068081097,-0.862914640390524,1.9487923968727903,1.8560647070446012,2.738585948670836
3.675075847298723,-0.8646825761198738,1.94816961264088,1.853335043931125,2.7267960287261905
3.673859986365896,-0.8664687169473851,1.947540535738999,1.8505784500999787,2.71489661165583
