theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.7295786783233904,-0.7944041990979456,1.9730265844341954,1.9628760781351298,3.2058603887798016
3.729529106174177,-0.794512978500371,1.972977153045927,1.9627525748091905,3.205453074857913
3.729446787128752,-0.7946937525942006,1.9728951672553838,1.9625473809366039,3.2047765854311723
3.7293319676261483,-0.7949460919074425,1.9727809542179422,1.9622610242478986,3.2038328572257306
3.7291848941054004,-0.7952695669681045,1.9726348410889785,1.9618940324736027,3.2026238269677396
3.729005813005541,-0.7956637483041941,1.9724571550238688,1.9614469333442446,3.2011514313833502
3.7287949707656045,-0.7961282064437196,1.9722482231779894,1.9609202545903526,3.199417607198714
3.7285526138246237,-0.7966625119146886,1.9720083727067166,1.9603145239424549,3.197424291139982
3.7282789886216325,-0.7972662352451091,1.9717379307654268,1.95963026913108,3.195173419933306
3.7279743415956648,-0.7979389469629888,1.971437224509496,1.9588680178867561,3.1926669303048367
3.727638919185754,-0.7986802175963357,1.9711065810943005,1.9580282979400114,3.1899067589807255
3.7272729678309333,-0.7994896176731575,1.9707463276752164,1.9571116370213748,3.186894842687124
3.726876733970237,-0.8003667177214622,1.9703567914076203,1.956118562861374,3.1836331181501833
3.7264504640426988,-0.8013110882692576,1.9699382994468884,1.9550496031905373,3.180123522096055
3.7259944044873516,-0.8023222998445515,1.9694911789483966,1.9539052857393933,3.1763679912508898
3.7255088017432296,-0.8033999229753518,1.9690157570675215,1.9526861382384704,3.17236846234084
3.724993902249366,-0.8045435281896662,1.9685123609596393,1.9513926884182964,3.168126872092055
3.724449952444795,-0.8057526860155029,1.967981317780126,1.9500254640094001,3.1636451572306883
3.7238771987685495,-0.8070269669808694,1.9674229546843582,1.9485849927423098,3.1589252544828894
3.723275887659664,-0.8083659416137738,1.966837598827712,1.9470718023475537,3.1539691005748116
3.7226462655571715,-0.8097691804422238,1.9662255773655635,1.9454864205556601,3.148778632232604
3.721988578900105,-0.8112362539942274,1.9655872174532891,1.9438293750971571,3.143355786182419
3.7213030741274995,-0.8127667327977922,1.9649228462462653,1.9421011937025732,3.1377024991504077
3.720589997678388,-0.8143601873809263,1.964232790899868,1.940302404102437,3.131820707862721
3.7198495959918034,-0.8160161882716374,1.9635173785694733,1.9384335340272765,3.125712349045511
3.7190821155067804,-0.8177343059979334,1.962776936410458,1.9364951112076199,3.119379359424929
3.7182878026623523,-0.8195141110878222,1.9620117915781978,1.9344876633739958,3.112823675727125
3.7174669038975523,-0.8213551740693116,1.9612222712280691,1.9324117182569325,3.1060472346782517
3.7166196656514146,-0.8232570654704094,1.9604087025154486,1.930267803586958,3.09905197300446
3.715746334362972,-0.8252193558191235,1.959571412595712,1.9280564470946011,3.091839827431901
