theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.729552641477825,-0.794373303756017,1.97274350128315,1.9628863008597863,3.2058732313584524
3.7294250643891647,-0.7943896403664926,1.9718571432678274,1.962793669742901,3.205504396766234
3.729212930706283,-0.7944167890691041,1.970402871613346,1.9626403036163926,3.2048919508107603
3.7289166452640865,-0.7944546852426126,1.9683994977142056,1.9624270362634164,3.2040377576087615
3.728536612897482,-0.7945032642657792,1.9658658329649072,1.9621547014671272,3.2029436812769667
3.7280732384413757,-0.7945624615173649,1.9628206887599502,1.9618241330106798,3.2016115859321044
3.727526926730674,-0.7946322123761307,1.9592828764938355,1.9614361646772296,3.200043335690905
3.7268980826002824,-0.7947124522208376,1.955271207561063,1.9609916302499315,3.198240794670096
3.726187110885109,-0.7948031164302466,1.9508044933561333,1.9604913635119403,3.1962058269864078
3.7253944164200594,-0.794904140383119,1.9459015452735464,1.9599361982464112,3.1939402967565695
3.72452040404004,-0.7950154594582153,1.940581174707803,1.959326968236499,3.19144606809731
3.7235654785799572,-0.7951370090342968,1.934862193053403,1.9586645072653592,3.188725005125358
3.7225300448747176,-0.7952687244901248,1.9287634117048464,1.9579496491161463,3.1857789719574434
3.7214145077592278,-0.7954105412044599,1.9223036420566342,1.9571832275720153,3.182609832710296
3.720219272068394,-0.7955623945560631,1.9155016955032662,1.9563660764161215,3.1792194515006433
3.7189447426371225,-0.7957242199236958,1.9083763834392429,1.95549902943162,3.1756096924452155
3.7175913243003205,-0.7958959526861187,1.9009465172590645,1.9545829204016651,3.171782419660742
3.7161594218928933,-0.796077528222093,1.8932309083572314,1.9536185831094126,3.167739497263951
3.714649440249748,-0.7962688819103795,1.8852483681282435,1.952606851338017,3.163482789371573
3.7130617842057907,-0.7964699491297396,1.8770177079666015,1.9515485588706336,3.159014160100336
3.7113968585959283,-0.7966806652589339,1.8685577392668056,1.9504445394904175,3.1543354735669697
3.709655068255067,-0.7969009656767236,1.8598872734233558,1.949295626980523,3.149448593888203
3.7078368180181136,-0.7971307857618699,1.8510251218307527,1.948102655124106,3.144355385180766
3.7059425127199734,-0.7973700608931336,1.8419900958834965,1.946866457704321,3.139057711561387
3.7039725571955544,-0.7976187264492757,1.8328010069760876,1.945587868504323,3.133557437146795
3.7019273562797617,-0.7978767178090572,1.823476666503026,1.9442677213072674,3.12785642605372
3.6998073148075026,-0.7981439703512394,1.8140358858588121,1.9429068498963087,3.1219565423988898
3.6976128376136828,-0.7984204194545831,1.8044974764379462,1.9415060880546022,3.115859650299035
