theta1,theta2,theta3,theta4,theta5
3.1415926535,-0.9030865823619687,2.1246196420553805,1.9200595938963783,8.979318433952318e-11
3.141502633196184,-0.9030873451631432,2.1176513400537336,1.9200246474602718,-0.00016363083619288582
3.1412333578550022,-0.9030895890888219,2.0991860547402554,1.9199201198273483,-0.0006529709781544838
3.1407860058318575,-0.9030932474222381,2.072883217152138,1.9197464785107032,-0.0014656913820966914
3.14016175548215,-0.9030982534466248,2.0424022583265766,1.9195041910234303,-0.0025994630940245904
3.139361785161281,-0.9031045404452152,2.011402609300763,1.9191937248786246,-0.004051957159943262
3.138387273224653,-0.9031120417012424,1.9835437011118913,1.9188155475893802,-0.005820844625857786
3.1372393980276656,-0.9031206904979394,1.9624849647971543,1.9183701266687923,-0.007903796537773245
3.1359193379257206,-0.9031304201185396,1.9518858313937455,1.9178579296299552,-0.010298483941694723
3.13442827127422,-0.9031411638462759,1.955405731938858,1.9172794239859636,-0.013002577883627301
3.132767376428565,-0.9031528549643815,1.9670982036185933,1.916635077249912,-0.01601374940957606
3.1309378317441565,-0.9031654267560895,1.9786520175837872,1.915925356934895,-0.01932966956554608
3.1289408155763954,-0.9031788125046329,1.9900676437267357,1.9151507305540072,-0.02294800939754243
3.1267775062806833,-0.9031929454932451,2.001345551939736,1.9143116656203432,-0.02686643995157022
3.124449082212422,-0.903207759005159,2.0124862121150833,1.9134086296469974,-0.031082632273634506
3.1219567217270123,-0.9032231863236079,2.0234900941450755,1.912442090147065,-0.035594257409740385
3.1193016031798555,-0.9032391607318248,2.034357667922008,1.9114125146336396,-0.04039898640589293
3.116484904926353,-0.9032556155130428,2.0450894033381775,1.9103203706198169,-0.04549449030809723
3.1135078053219063,-0.903272483950495,2.05568577028588,1.9091661256186905,-0.05087844016235837
3.110371482721916,-0.9032896993274147,2.066147238657412,1.9079502471433556,-0.05654850701468141
3.1070771154817844,-0.9033071949270348,2.0764742783450703,1.9066732027069067,-0.06250236191107145
3.1036258819569116,-0.9033249040325887,2.0866673592411513,1.9053354598224381,-0.06873767589753356
3.1000189605027,-0.9033427599273092,2.096726951237951,1.9039374860030447,-0.07525212002007284
3.0962575294745496,-0.9033606958944297,2.106653524227766,1.9024797487618208,-0.08204336532469433
3.0923427672278634,-0.9033786452171831,2.1164475481028933,1.9009627156118616,-0.08910908285740315
